essay_id	essay_set	essay	essay_score	Foreign languages	Genre	Months of PT	Mother tongue	Nationality	Number of words	Topic	Type of text
fr043CDSTI_2	Difference between ethics and moral	"A eética e a moral são aoo coração das relações entre os seres humanos duma sociedade.
Eu concordo com o médico Vitor que fizfez uma differenciadiferença entre a eética e a moral. Eu dizeriadiria que a eética pode ser masmais aplicada na vida profissional e puública e a moral na vida privada. De facto, a eética é regiaregida por o pelo dereito que põe limites ao convivirconviver dos indiviíduos numa sociedade. A eética aplica-se aos advogados, aos médicos, aos serviços puúblicos que devem, aleém de sua consciençaconsciência profissional, respectarrespeitar uma eética. No lado da vida privada, embora ela seja regiaregida por algumas reglasregras, as formas de vida podem ser vaárias  segundo quais   moral,  principaisprincípios e  valores  a pessoa decide de seguir. A moral religiosa é o melhor exemplo. De facto, a religão pode regiarreger de vaárias maneiras os comportamentos dos seres humanos e as suas relações com os outros.
Então, acho que esta temática da eética e da moral é muitao subjectiva. Desde Há muito tempo que as duas foramestão aono eentre do preocupações das sociedades.
A questão que podemos perguntar-nos é aquele: devemos seguir a ética o ou as nossas conviçõesconvicções?
"	5	English,Spanish,Russian,Portuguese	opinion	_	French	French	185	Culture and philosophy	_
en009CVMTD	Letter to a friend about beach vacations	"Cara Nuno,
Como estás? Estou a passar férias numa praia numa das islas no noroeste de Escocia. A prai praia não tem muita gente e fica no costo occidental da isla, que chama-se ""Iona"". Não pode-se nadar porque a agua sempre está muito frio. A pesar de que o sol brill brihla em su esplendor não pode calentar o mar.
Não obstante, estou a disfrutar  o meu tempo aqui, porque posso andar na pai praia e observar as bestias selvagens que tem a isla, o ceu e o mar.
Espero que toda vá bem contigo.
Um arbraço,
Joana.
"	3	Spanish	personalLetter	24	English	British (Scotland)	95	Travel	DT
ja057CVMTF	social media	" É verdade que há muitas vantagens ao usarmos os serviços da internet em vez de usarmos os serviços reais manter fotografias no site da internet é forma mais seguro do que manter de papel. E ler notícias na internet tem mais escolhas de articuloartigo do que ler em papel. 
No entanto, desde que concluamos que a forma de internet é melhor, é perigoso resolvermos todos os problemas pela internet. Por exemplo, ao investigarmos no sites em que mostramos a nossa vida, sempre há possibilidades de que os perfils não sejam verdade. É mais fácil mentirmos no site do que comunicação real. E nas reuniões e conferências em que as pessoas apresentam projetos, é importante mostrar a paixão pelo voz e pela expressão de corpo. 
"	3	English	opinion	36	Japanese	Japanese	124	Technology and communication	FT
en023CAETF	A traditional tale	"A A menina com cabelos oOurozinhos e AOs Três OUrsos.
Uma menina que só tinha dez anos estava perdida sozinha numa floresta quando chegou   uma casa muito bonita. Ela bateu à porta e ninguém aparaceu. Ela tinha andado por muito tempo e, por isso, tinha fome e sede. Ela bateu à porta durante dez minutos a esperar para alguém. Finalmente, a menina notou que uma janela estava aberta e decidiu entrar por ela. Quando a menina entrou na casa, viu três taxos de sopa na mesa. Ela lembrou  de sua fome e foi probar a comida. A sopa do primeiro taxo era muito quente para a menina e ela não gostava dela. A sopa do segundo taxo era muito fria e também não gostava dela. Mas a sopa do terçeira taxo era perfeito! Ela comeu esta sopa toda. A menina queria descansar e foi para outro sala aonede encontrou três cadeiras. Ela tentou sentar-se na primeira cadeira mas era muito grande. A segunda cadeira era menos grande mas ela ainda não conseguia chegar ao acento. A última cadeira era a menor e o tamanho perfeito, mas quando ela se sentou-se nela, a cadeira partiu-se em pedaços. Agora a menina estava muito cansada e queria dormir um pouco. Ela subiu as escadas aonde encontrou três camas. Ela tentou a primeira cama mas era muito duro e ela não consiguiu relaxar. A segunda cama era muito macia e ela também não gostava dela. Quando ela se deitou-se na terceira cama dormiu num instante porque era perfeito. Entretanto, os donos da casa chegaram à cozinha. Eram três ursos: uma mãe, um pai, e uma criança. A mãe olhou para o seu taxo e disse ""alguém esteve a comer a minha sopa!"" O pai disse, ""alguém esteve a comer a minha sopa!"" O ursinho disse, ""alguém estaeve a comer a minha sopa e comeu-a toda!"" Os ursos foram para a outra sala e viram as cadeiras deles. A mãe disse, ""alguém esteve sentado na minha cadeira!"" O pai disse, ""alguém esteve sentado na minha cadeira!"" O ursinho disse, ""Alguém esteve sentado na minha cadeira e partiu-a toda!"" Os ursos foram para cima e a mãe disse, ""alguém esteve a dormir na minha cama!"" O pai disse, ""alguém esteve a dormir na minha cama!"" O ursinho exclamou, ""alguém esteve a dormir na minha cama e ainda está laá!"" A menina acordou neste momente e, quando viu os orsos, teve medo deles. Ela saltou da cama e corrou pela porta da rua.
"	2	_	recount	_	English	Canadian	410	Stories and historic events	FT
it114CSMTF_1	Opinion about Lisbon and the people from Lisbon.	"Hoje eu gosto muito de Lisboa e dos lisboetas. Não todas as pessoas são gentiles mas isto acontece em todos os paìses. Eu sempre gostei de Lisboa de verdade e nunca alterei a minha opinião sobre esta cidade e os seus cidadãos. Um dia eu fui  como todos os dias em Cais do Seodré perta do rio pra ver o pôr-do-sol com os meus amigos e aí  conhecemos tre duas meninas portuguesea tão gentiles e amigáveis que comecámos imediatamente a falar com elas. Por istoa razão gosto muito dos lisboetas e de Lisboa.
"	3	English	opinion	_	Italian	Italian	92	Interpersonal relationships	FT
es077CSATF	The more the means for communicating, the less we have to say to each other	"Nos últimos tempos, com o desenvolvimento dos meios de comunicação e  democratização do acesso aà informação a partir dos smartphones e as redes sociais, parece que comunicamos menos, como comenta a autora. P Do meu ponto de vista, a sua afirmação está parcialmente errada, devido a que penso que é a qualidade o poder da comunicação o que tem mudado.
Efectivamente, no mundo atual existem mais canais de comunicação do que nunca na historia da Humanidade. Aliás,  são mais imediatos e mais acessiveis do também. Qualquer pessoa pode hoje, sem precisar de formação nenhuma, tornar-se num jornalista de relevância graças aào Internet. Tanto as plataformas como o público teêm-se afastado das tendências tradicionais, gerando assim novas audiências mais diversificadas. Consequentemente, acho que estamos na época dos meios da comunicação.
Se bem que perceba que a autora esteja a falar do significado do que se comunica - que na sua opinião tem perdido valor -, não posso concordar totalmente. Ela parece desvalorizar o facto das pessoas não utilizarem relevantemente os meios de comunicação. Porém, vejo claro na pela minha experiência que não tem de ser assim. Por exemplo; embora uma conversa vis-a-vis sempre seja preferível, eu dou valor às às mensagens do WhatsApp que envio aos meus familiares, ainda que possam ser vistos como formas incompletas ou indesejáveis de comunicação. pelo a motivo de que eu sei e acredito em que guardam a mesma verdade e os mesmos sentimentos em si do que uma conversa otrora impossível.
  Contrariamente, acho que agora , a disponibilidade extrema que nos fazem ter estes canais de comunicação, tem criado uma nova dependência e um novo poder. Atualmente,  no mesmo caso do WhatsApp, acontece que os horários se tem flexibilizado até atingir a duração completa do dia, já que   sempre estão sempre disponível no teu telemóvel. Não é preciso nem sequer ch ligar à pessoa, como ""antigamente"", e, contudo, existe um compromiso se calhar ainda maior com a pessoa que escreve.  Sabe quando tens visto a sua mensagem. Sabe se tens decidido ignorá-la e  provoca a criação dessa nova relação de poder.
Quer eu tenha razão não tenha razão, quer aà autora não concorde mesmo com o ponto de vista, acho claro que há um novo cenário nas sociedades atuais, onde a comunicação é constante e até engaiolante, e assim  devemos estar prontos para afrentar os desafios futuros e utilizar estas novas ferramentas da melhora forma possível.
"	4	English,German,Portuguese	opinion	_	Spanish	Spanish	379	Technology and communication	FT
zh040CVATD	Obesity	"A obesidade
Agora, o problema de obesidade fica cada vez mais grave na nossa sociedade. Há 2 ou 3 pessoas em cada 10 pessoas que têm obesidade. Claramente, é por causa de mudança dos nossos estilos de vida.
Em Primeiro lugar, as os cidadãos faltam de exercícios fícsícos, o médico dá-nos sugestões de fazer desportos 2 vezes por semana, mas, quem obedece-a?
aAlém disso, as pessoas habitualmente ficam em casa para ligar a internet, não têm nenhumas vondtade para sair ou fazer exercícios!
Em Segundo lugar, o haábito de alimentos não é saudável! Normalmente, os jovens adoram comer comidas de lixo, tal como Mcdonald's, batatas fritas... Quando as comerem mais, tanto fiquem mais gordos! Também não têm oa conceito ideia correctoa de refeições, não segue o horário, come quando quiser, isso também faz mal aos nossos corpos não são saudáveis. Nós devemos comer mais vegetais, menos carne, e mais frutas! É proibido comer lanche e cena!
Noós devemos resolver o problema de obesidade, porque a obesidade o traze semp nos muitas doenças e más influências. Muda o estilo das nossa vidas é  único o modo pa para resolver. 
"	4	English	opinion	48	Chinese (Cantonese)	Chinese	175	Health and body care	DT
zh161CVSTI_1	Summarize a radio interview about ethics and moral.	"A ética é o conjunto de princípios e valores sobre  os comportamentos humanos. A ética e a moral são diferentes. Podemos pensar em ética sem moral, mas não podemos pensar em moral sem ética. A moral está relacionada com resumes regras sociais, e  sentido de vida.
"	5	English	informative	_	Chinese	Chinese	45	Culture and philosophy	IT
es134CSATF	Learning a new language is gaining a new soul	"Para a malhoria maioria das pessoas, aprender uma nova liíngua é uma das tarefas mais difícieis, ainda mais se iessa lingua não tem vèem da mesma semente que a sua liíngua materna, como aconteçce por exemplo com as liínguas romáânicas e as germáânicas.
Há um proveérbio checo que diz que ""aprender uma nova lingua é ganhar uma nova alma"". O facto de aprender uma nova liíngua obriga a nossa cabeça a trabalhar duma manheira diferente. Não podes utilizar as mesmas estruturas que utilizavas na tua liíngua, tens de aprender a razonar raciocinar usando novas ligações entre palavras artículos artigos, substantivos, verbos...
As pessoas que falam mais do que uma liíngua teêm a capacidade de pensar na miesma coisa de diferentes manheiras, poderiímos dizer que iessa pessaooa tem mais do que uma personalidade, mais do que uma alma
Falar muitas linguas é uma das melhores coisas que nós, como pessóoas, podemos tentar fazer. Obriga Crescemos, aprendemos e evoluimos, deixamos de ser uma única pessóoa.
"	4	English,Portuguese,French	opinion	_	Spanish	Spanish	157	Language	FT
ko030CAITF_1	Describe Ana's routine	" Durante a semana, Nnormalmente, a Ana levanta-se muito cedo para fazer exercisios. Além disso, ela faz yoga, também vai nadar. Todos os dias, tem as aulas das 9:00 às 13:00. Depois das aulas, costuma almoçar com os amigos dela na cantina e depois costuma estudar na biblioteca das 15:00 às 18:00. Antes de voltar para casa, vai sempre ao supermercado para compras. Quando chega a casa, começa fazer o jantar às 19:30. Normalmente, janta em casa às 8:00 da noite, porem janta fora com os amigos no centro e vai ao B ao Bairro Alto para beber um café ou uma cereveja. 
Habitualmente Depois do jantar, habitualmente lei lê um livro às 9:00 da noite e depois deite-se às 10:00 da noite, levanta-se cedo porque tem as aulas de inglês da de manhã No sábado de manhã também tem as aulas de inglês Depois das aulas, costuma arrumar a casa e tratar da roupa. 
À noite, vai ao cinema com os amigos.
No domingo, costuma gosta de ir à praia, porque almoça com a família lá. À tarde, passeia por Lisboa por volta de uma hora. À noite, janta fora com os amigos, mas nunca até tarde porque tem de se deiter cedo. 
"	1	English	informative	0	Korean	Korean 	192	Daily life	FT
it031CVSTI	Ethics and morals: is it the same thing?	"ETer um bom fundamento moral e ético é ainda melhor do que ter uma posição poliítica determinada, porque ainda mais, sem um bom fundamento ético, qualquernenhuma acção poliítica ou para a coletividade não pode ser levada a cumprimento De facto, a política nós dá-nos soluções por para aos problemas, mas a ética nos permite-nos de compreender profundamente quais são estes problemas, e, coisa mais sobre tudo sobretudo a ética nos faz faz-nos entender como agir (e portanto ainda reagir) em frente a qualquer problema incómodo. A moral está àna base da ética, porque tem mais a ver com oas acções individuais:; mas é a base da ética. A palavra “moral” vem do latim “mores”, que indica os usos comuns numa época ou numa civilização; pensando podemos concluir que a ética provém das características comuns à moral de cada um. Por isto, se num país, h a corrupção (sobretudo de usos) é muito difundida, a mesma ética que sustenta aàquela civilização iráficará em crise. Voltando em frente Concluindo, opiniões políticas não comprovadas por uma moral forte e verdadeira resultarão fracas, vazias de um sentido coletivo qualquer.
"	5	English	opinion	_	Italian	Italian	173	Culture and philosophy	IT
en059CVMTD	The labour market situation in the country of the informant	"Embora seja muito jovem, ja sei algo sobre a situação do trabalho na Italia, porque jàá tenho trabalhado durante os últimos anos. Porém, nessa altura encontrar trabalho vai ser miuito diifícil, particolarmente pelos jovem jovens. Não sou um experto sobre aquilo que acontece nos outros paiíses, mas sei que agora ter uma licenciatura não é mais uma segurança de poder encontrar trabalho fixo, porque todos aqueles que têm vagas procuram da  expêriencia passada. Isso deve mudar, pra mim, porque alguém tem de dar algo inícial, que seja um full-time ou também um bico. Uma boa ideia seiria aquela de aumentar o número dos estagios. Na Italia um estagiario não recebe um pagamento pelo seu trabalho, mas logo pode aprender muito mais e no mesmo tempo vai a qualificar-se como pessao com expêrencia (as vezes acontece que a aorganização mesma que oferece o estagio pode decidir de prolongâ-lo e, se ficarem contento com as prestações dele, mudar o estagio numa oferta de trabalho fixo).
"	3	German	informative	36	English	Italian	162	Society economy and politics	DT
en044CVETI	Letter to a friend telling about the informant's life in Portugal	"Querido MM,
Eu ha querido escrever a voce há duas semanas mais eu não tinha tido tempo - ha sido tanto occupado aquí! Estou em Lisboa para estudar o Português na Faculdade de Letras aquí. A cidade é muito velha e linda, e também a muitas coisas para fazer. Ontem foi ao Castelo de São Jorge na manha, e eu gostei muito - a vista foi increivel! Voce sera feliz a saber que foi a ver uma exposição de uma de suas artistas favoritas - Picasso! Só havía uma pintura - e foi pequena - mais foi giro e uma experencia que nunca posso olvidar.
 Meu esposa, Joss Stone, vai cantar para tudo gratuita na Praça do Comercio em duas semanas, e, como todo a cidade, não posso Esperar.
Então!! Tenho que ir agora mais vou escrever mais noticias quando encontra tempo.
Ate pronto!
MM
"	2	Spanish	personalLetter	24	English	British	143	Daily life	IT
zh122CAETF	Consumption habits in the informant's country	"No meu país - Taiwan, os habitantes não gastam muito dinheiro, pelo contrário, costumam depositar dinheiro no banco. Antigamente, eles costumavam pagar em dinheiro porque não tinham cartão de crédito, cartão de multibanco e é inconveniente usarem cheque. Nos últimos anos, têm pago cada vez mais com cartão de crédito ou multibanco, mas testa situação tem um problema que é algumas pessoas gastam muito e não conseguirão devolver , por isso eu gosto de pagar em dinheiro.
Os Taiwaneses gastam sempre muito dinheiro por em comida, e  educação de filho.  Antigamente, só gastarem pouco dinheiro em passatempo, viagem e filme... etc. mas agora, gastam-nos cada vez mais. Os jovens costumam gastar mais dinheiro em no computador, telemovéel e filme, sobretudo os idosos gastam mais dinheiro em viagem e saúde.
"	2	Korean	informative	1	Chinese	Chinese	125	Society economy and politics	FT
nl058CAITI	Present yourself and someone else	"Olá, chamo-me FF e sou da Holanda. Moro em Lisboa, porque estudo cá. Eu sou uma pessoa alegra e sympática. Meus olhos são azuis e tenho cavelo castanho e liso. Eu sou muita alta. Tenho vinte e um anos. 
Tenho uma amiga, chama-se FF. Ela tem olhos verdes. Ela é muita sympática! Ela é da Holanda também e tem vinte e dois anos. 
"	1	English	informative	0	Dutch	Dutch 	63	Identification, characterization and description of people and objects	IT
en014CVITF	The life of the informant in Portugal	"A minha vida em Portugal
Eu gosto muito da minha vida em Portugal. Todos os dias, levanto-me às sete da manhã, tomo um duche, visto-me e como cereiaais com leite e fruta e bebo um café forte. Eu costumo sair de casa pelas oito e meia. Eu vou de metro para a faculdade. Tenho as aulas de língua portuguesa das nove aà uma dea tarde. À tarde, almoço sempre na cantina. Prefiro o peixe com batatas fritas. Depois do almoço, vou a casa. Geralmente chego a casa às duas e meia da tarde. Eu arrumo a casa e descanso por uma hora. Às quatro vou ao Jardim da Estrela para estudar Português. Volto para casa pelas sete e começo a fazer o jantar. O meu marido, MM, chega a casa pelas oito da noite. Jantamos juntos e conversamos muito. AÀs vezes, ouvimos um programa americanao no radio computadora. Depois do jantar, o MM lava a louça. Vemos um pouco de televisão e deito-me cedo. Aos fins-de-semana nós fazemos muitas cosas coisas diferentes. No próximo fim-de-semana, vamos a Peniche para aprender ""surfing""! Que vida boa! inc.
"	1	_	recount	12	English	American	181	Daily life	FT
es141CVSTI	Comment on a quotation by Miguel Esteves Cardoso	"Há muitas maneiras de ver a vida, e segundo a perspetiva de cada um, umas pessoas vivirão duma de uma forma, e outras, de outra. Há quem trabalha muito e tem pouco tempo, embora tenham muito dinheiro. Infelizmente, também existem pessoas que trabalham muito sem ter, nem muito dinheiro, nem tempo.

Contudo, se pudéssemos escolher entre desfrutar sem grandes sumas de dinheiro ou ter dinheiro infinito e escasas horas para desfrutá-lo, não escolheríamos todos nós a primeira opção? E sendo assim, por que será então que tantas pessoas não desfrutam ou sacam tempo para sim próprios em lugar de trabalhar tanto? Prováavelmente seja a causa de que quanto mais temos, geralmente, mais queremos. Assim somos, e a vida de muitas pessoas passa até serem bastante maiores sem reparar que não tem desfrutado o suficiente e que o tempo perdido não regressa.
Consequentemente, é preciso aprender a viver com o maior equilíbrio e harmonia possíveis, acorde ao nosso estilo de vida. Nem sempre é necesário possuir grandes riquezas, no entanto, sim é necessario ter o tempo para desfrutar das coisas simples.
Como conclusão, pessoalmente concordo totalmente com o autor: um dos nossos mamores maiores legados é o tempo, e portanto, devemos priorizá-lo.
"	5	English,Portuguese,German,French	opinion	_	Spanish	Spanish	199	Culture and philosophy	IT
es093CPATF	Imagine you are maire and write about your visions for the city	"O dia 19/05/2016 foi  meu primer dia como Presidente da Câmara de Lima, Capital de Perú.
Lima e uma ciudade muito grantde, e continua a crecer, é uma ciudade que mantém a maior concentração da poblação de Perú (Quasi a mitade de tuda a poblação de Perú).
E uma ciudade colonial com muita histoória, o que é atrativo para os turistas, tem voos direitos de tudos  partes do mundo, o que faz possível que Lima seia a porta de entrada em  Perú.
 O principal problema da ciudade é o trafego de veículos, Lima e uma ciudade caótica, o transporte público deastroso, e nas ruas não estam preparadas para o gram aumento doe carros.
O primeira coisa que vou a fazer, é gerir a construcção do metro, e necesario para solucionar este gram problema.
O segundo problema importante é o aumento dos criminosos, mudar as leis e fa tornaá-las mais rigorosas seria uma boa solução.
Tendo  atenção destas dois coisas, destos dois problemas, melhorariamos muito a situação atual de nossa ciudade.
"	4	English	_	_	Spanish	Peruvian	164	Society economy and politics	FT
zh108CAETF	What do you like/dislike most about Portugal?	"Já vivo em Portugal há três meses. Acho que Lisboa é uma cidade muito bonita. Eu gosto mais da paisagem, deaqui, porque qi quando eu dei p uma voltoa dea pela cidade, é pareceria que eu estar em ainda ainda estava em Macau,: a calçada, os perecio edifícios e os monumentos são muito parecidos dos com os de Macau. Penso que o a baxia bBaixa cheado cheiado é uma lugar muito na bonitao, gosto muito de ir, porque ali tem muitas lojas pare para estranjgeiros, e eu posso comprar fazer compras,. aAlém disso, ali t há muitoas pessoas a trocar música lá. e eu posso aproveitar-me e é sempre me sinto diveirtidoo. O Por isso, a paisagem é do que mais gosto neste novo país.
Mas, eu não gosto muito da comida daqui, porque em Macau, a pessoa não cuostumava não comer comer muitos doces, mas aqui em Lisboa, muitas comidas são muito doces e muito fortes, tal como a pastel de nata e as tarte. g Os Portuguêeses também gostam muito de beber café, tal co por exaemplo, galão e bica, mas acho que seão muito amorg amargos. Além disso, Apesar disso, eu gosto muito destea cidade.
"	2	English	opinion	4	Chinese	Chinese	165	Daily life	FT
