essay_id	essay_set	essay	essay_score	Age	CEFR level of test	Coherence/Cohesion	Gender	Grammatical accuracy	Mother tongue	Orthography	Overall CEFR rating	Sociolinguistic appropriateness	Test language	Vocabulary control	Vocabulary range
PHA0112012B	describe a photo: playground - ID: A2PS0201_hriste	"Na fotografii jsou čtyři osoby, dvě dospělé a dvě děti. Myslím, že to je celá rodina. Máme tam otce, matku a jejích dvě děti. Rodiče hrajou s dětmi na dětské zahradě. Děti jsou dvě ""ženy"". otec má na sobě shortky, hnědý svetr a letní obuv-ambiguous-, matka je taky oblečená s shortky, tričkem a letním obuvy. Má taky brýle na hlavě. Děti máji džiny a šaty.
Všichni se árí dobře. Vypadájí vesele a se smějí. Myslí na jejích lásku a rodinu. Možná myslí na třetí děti.
Mluví o dětech nebo o práci, o babičce atd.
Myslím, že to je na jaře nebo na začátku podzimu protože manžel má svetr a manžeka má kratké tričko s slunečými brýlemi. Počasí je zataženo ale neprší"	2	3039	A2	A2	male	A2	French	B1	A2	0	Czech	A2	A2
0911	answer to the email of Jana - ID: 2_Jana	"Ahoj  Jano.
Děkuji ti mockrát za tvoje email. Těšila jsem se, že jsi  psala. Je mi líto, že jsem nepsala ták dlouho, ale jsem měla poslední dobou mnoho práce. Jsem v 9 semestru a  pišu moje diplomovou praci a dodatečny  jsem měla zkoušku. Jinak mám dobře.
 Diky moc za pozvání. Přijdu velmí radá do Praze ale teď nemám čas.
Snad přijdu příští březnu  jeden víkend a divám se na město.
Kdo přesný bydliš? Jaká ulice? Můžém jet metrem? A kolík stojí jízdenka?
Co si přeješ na narozeniny? Můžím nejaký prinášet? Nemáš žádný starost, 30 neni dosud ne starý! Přám ti  hezkou dovolenu a moc sluneční dni.
Pěkně  pozdravy Petr ode mne a mnoho uspěchů s jeho studium! Jinak není nic nového, taky.
Srdečně tě zdravím.
Sabine"	2	not reported	B1	B1	female	A2	German	B1	A2	B1	Czech	A2	B1
0642	answer to the email of Alena - ID: 1_Alena	"Ahoj Mileno,
děkuju Ti mockrát za Tvůj poslední dopis. Tvůj dopis jsem dostal již minulý týden. Je mi lito, že pišu tak pozdě, ale měl jsem hodně práci a malo času o minulých týdnech. 
Dnes Tě pišu, protože jsem končil moje zkoušky včera. Mám se dobře, ale prší dneska. Od zaří budu mít čtyři diplomní zkoušky. 
Teď jedu u moři, protože mám dovolenou. Proto nebudu mít čas.  Nepřijdu na grilovací party v Liberci. V 27.srpnu budu rád nás navštěvit. Kterí přání máte Petr a  já?
Příští štreda budu mít čas. Těsím mě na setknání. Budeme setkat v 16 hodin v hlavní nádraži?
Hledám po dobrou českou gramatiku. Znáš dobrou gramatiku a můžeš koupit pro mě? Přirozený budu platit za to. 
Pro dnesek je všechno. Pozdravím Petra.
 Měj se dobře. Michael"	2	not reported	B1	B1	male	A2	German	B1	A2	B1	Czech	A2	B1
PHA0411055	write an essay: A friend in need is a friend indeed - ID: B2PS0202_pritel	Dnešní doba je  hodně uspěchaná, proto lidi si těžko budují kvalitní přatelství. Přátelství se dá vytvořit ve škole, na spoločenských akcích, na pracovišti, se sousedmi. Myslím si, že v dnešní době lidi říkají často polopravdy, nebo úplné lži. Jsou víc uzavření. Otevřenost se ve mnoha případech nevyplácí často je zneužívaná. Tahle doba přinesla konzumní život. Lidi nepřemýšlejí nad morálním hodnotami. Lidi se uzavřeli na malý okruh lidí ve své rodině, kde mají zázemí a důvěru. Ve mnoha případech se mi stalo, že sem si myslela, že mám pravou kamarátku na, kterú se můžu opřít,  například, když jsem byla v nemocnici a ona se celou dobu mého pobytu, který jsem byla hospitalizovaná na chirurgii ani jednou neozvala. Byla jsem z toho smutná a sklamaná. Potěšilo mně, když mně navštívili mojí nejbližší. O přátelství se dá říkat vždy jen tehdy, když obě strany dávají lásku, pozornost, porozumnění a úctu. Ne když jen jedna strana dáva a druhá bere. V pravém přátelství musí být radost pro osobu, který dáva z lásky pomocnou ruku osobě, která prožívá bídu, strach, nemoc nebo finnační krizi. Člověk by mal být víc vnímavý a pozorný vůči lidem kolem. Někdy stačí úsměv, skoro, nebo pohlazení aby člověk cítil lásku. Je to velké štěstí, když má člověk dar přátelství. Je velkým vzorem pro děti, mladé lidí a pro společnost. Někdy jsou takovýdle lidi společnosti k smíchu. Málo lidí věří v dobro a přátelství. Mám pocit, že prátelství se bere, už za něco nadpřirozenýho.	4	3039	B2	B2	female	B2	Slovak	B2	B2	0	Czech	B2	B2
PHA0411035	write an essay: No pain no gain - ID: B2PS0202_kolace	"Když se člověk narodi, nemusí ještě přemyšlet o tom jak bude žit dalé. Zatim se o něj starají rodiče. To je ta nejlepší vec v živote člověka. Ale život jde dál Práce je nejdůležitější otázka v životě lidí.
Rodiče nám pořad řikají, že život je dřina. Když chceme něčeho dosáhnout musíme pracovat. A to už začina od malička. Každý den vstaváme, chodime do školky, pak do školy, musime se dostat na vysokou školu, abysme dostali dobré zaměstnaní. Vzdělaný člověk může sehnat kvalitnou práci, dobré placenou. Pracovat musime pořad abysme dosahli úrovně ve společnosti. Naš život je práce. A bez práce nedostaneme od života nic. Koláče to známena náš úspěch v živote. Co jsme si dosahli?
Zeptame se? Máme cíle a musime je dosahnout. Co můžeme chtit od sebe, když nic pro to neudělame. Nedostaneme žadné koláče. Své koláče každý dostane včas. Život je boj od rána do večera. Když udělám chybu tak nemusím ji opakovat, když spadnu tak musim vstát a říct: ""Jdi dal...!"" A tak to pracuje v životě, pořad dokola, každý den. když pořadně budeme pracovat tak dosahneme koláče."	4	3039	B2	B2	female	B2	Other	B2	B2	0	Czech	B2	B1
LIB0611003A	answering on a birthday invitation - ID: A2PS0102_oslava	"Ahoj. Jak se maš? 
Moc dekují za pozvaní na oslavu.Prosim te, napiš, gde planuješ provadet svatek a v kolik bude začatek? Kdy bych nahodou potřebovala z nečím pomoc, tak klidné napíš nebo zavolaj. Vzdycky rada pomachat. A kolik planuješ pozvat lidí na oslavu naroženín? A bude nekdo, koho mochla bych znat?
Ješte jednou dekují za pozvanku a  tešim se na tvou brzou odpověd."	2	2029	A2	B1	female	A2	Other	A2	A2	A2	Czech	A2	A2
PHA0509015	write an essay: Everywhere well but at home the best - ID: B2PS0200_doma	"Všude dobře, doma nejlépe.
Jsem Ukrajinka a v České republice budlím 6 let. Mám tady rodinu - manžela a dvé děti. Po škole jsem šla studovát do Ruska zdravotnickou školu. Byla to moje první zkušenost s cizím jazýkem, lidmí, okolím. Také jsem navštívila několikrát Polsko, Rumunsko, Německo, Slovensko. Bezesporu - cestování je zajímavá věc. Přesto vždy se ráda vrácim domů. Náš domov, rodinu, kamarádi vždy u nás vytváří jakesí pouto. Zdá se, že i ty stromy doma máme vyšší, třešně sladší, květiny voní více  a hvězdy září více. Pobyt v cizíně nám dáva nové ználosti, informace, zkušenosti. Domu vždy najdeme duševní klid, zázemí, lásku mátky. Domu jezdim jednou za rok. Kromě toho, často pišu přibuzným dopisy, telefonuji. Svůj druhý domov jsem našla v České republice. Poznávam jinou kulturu, mentalitu, zvyky. Když mi je nejhůř, vzpomínám si na slov Jana Wericha: Když nejde o život - jde o hovno"".
Co mi nejvíce chybí? Asi ta mateřčina. „Čistá, krásná, svatá řeč mateřská. Zahřevná jako samo slunce a jako jaro i léto plodná a živná. Melo by se jí vlastně řikát „druhá mátka"". Když nás ta první opustí, sklacená nebo když opustime ji a vyjdeme do světa, ta druha jde s nami až do konce, a sprovází nás až k hrobu. Poukazuje  nam na to, co sprosté a nehodné a připomíná nás k tomu, co jemného, mílého a šlechetného. Zahřívá naše srdce, řídí náš cit, vede náš rozum"". Souhlasím se slovy Jana Nerudy. Zaroveň si myslím, že mám jedinečnou možnost mlůvit česky, číst dětem české pohádky a pilovIat,  pilovIat, pilovat."	4	4049	B2	B2	female	B2	Other	B1	B2	0	Czech	B2	B2
0612	answer to the email of Alena - ID: 1_Alena	"Ahoj Aleno, 
Děkuju za tvůj email. Tenhle rok budu končit studium a budu začinat pracovat na diplomce. Teď planuju dovolenou s přitelkyni. Chceme pojedu v létě do Italíi. 
Těším se na tvoj návštěvu v Drážďancku. Když přijedu do Drážďanck, přijiďpřijiď k mně. V pátku odpoledne mám čas. Kolík hodin budeš přijet? Budu jet pro ti na nádraži.
Děkuju za informace o prazdninové kurzy češtiny. Je to zajímavý. Prosím, poslej mně to inzerát. Kolík stojí kurz a kdy přesně začina ho? Jak dlouho trvalý kurz? 
Doufám, ty máš šťastný v Pirně. Těším se na te. Můžeme jit do kina nebo do divadlo, když jsi tady. Jak v poslední navštevě.
Mej se hezký. Pozdravi tveho přitela. 
Zatím ahoj.
David"	2	not reported	B1	B1	male	A2	German	B1	A2	B1	Czech	A2	A2
PHA0411057	write an essay: A friend in need is a friend indeed - ID: B2PS0202_pritel	"V dnešní době je opravdu těžké, najít skutečného přítele. Všichni jenom někam pospíchame, ženeme se do práce, domů a pak zase do práce a zase honem domů. Nebylo by někdy lepší chviličku zůstat stát a rozhlédnout se kolem sebe? Mění se vůbec lidi kolem nás? Máme přítele, na kterého se můžeme s každým problémem obrátit? A když potřebuje přítel s něčím pomoct, jsem mu k dispozici?
Už je to pár let naspět, co jsem si myslela, že mám hodně přátel kolem sebe. Vždy jsme společně chodili do kostela, zpívat, na procházky. Pravidelně jsme jezdili v létě k moři a v zimě na hory. Ale to všechno se jednou změnilo. Spadla jsem z kola a skončila v nemocnici. Z obrovské party přátel ani jeden nepřišel za mnou, ani do nemocnice, ani domů. Kdyby alespoň zvedli telefon... Asi tak po měsíci se u nás u dveří objevil můj spolužák ze školy. Myslela jsem si o něm, že je namyšlený, ale nebyla to pravda. Hezky jsme si popovídali a domluvili se, že k nám ještě někdy přijde. Moc jsem se těšila.
Někdy si člověk myslí, že když bude přátelům pomáhat, bude jim naslouchat, tak se mu to jednou vrátí, ale ne vždy je to pravda. Můj spolužák byl opravdu příkladem toho, že v nouzi poznáš přítele. Moc bych si přála, aby každý z nás poznal dobré přátele."	5	3039	B2	C1	female	C1	Slovak	C2	C1	0	Czech	C2	B2
PHA0809009	write an essay: Everywhere well but at home the best - ID: B2PS0200_doma	"Všude dobře, doma nejlépe
Každý člověk se snaží najít pro sebe lépší život. Hodně lídí se myslí že doma si ho nenajde. Každy z nich chce jet do hlávního města nebo do zhraničí. Ale když to uděla, jenom někteřy zvladnou tam zůstat. Samozřejmě život v bohatším mistě se zda jako přijemnější. Ale předem máme přemyslet proč to tak je. Nikdy a nic se neda zadarmo. Vždycky musime hodně pracovat aby něco dostat. Toto vědi každý, ale nemysli že v cizím to je komplikovaneje.
Ja jsem měla stejnou chybu. Když jsem poprve přijela do České Republiky, zdalo se mi že bydlení tády je skoro pohadka. A už po prvním měsici se objevila řada problemů. Začálo to všecko s nerozumění českého jazyka. Nemohla jsem nic odjednat ani v restauraci, ani v obchodě,  vždycky mi davali neco jiné než jsem si mýslela. Neznaš dobře město, ztrátiš se někde, a nemužeš nikoho zeptat. bylo to težke nazačatku. Ale když už jsem  začala trochu mluvit česky, stalo to lepší. Seznamila jsem se s několikamy kamarády, začala rozumět  zpravy v novinach, filmy v kině. A přišla druha vlna illuze, že jsem doma. Pak se mi stalo velice  stískat pro moje rodině. 
Jen když jsem se vratila domů po půl roků bydlení v zahraničí citila jsem si uplně spokojena. 
Toto všechno se stalo před několika let, a teď už je to -symbol- všechno prýč. 
Každy kdo někdy zkusil život v zahranicí vi, že všude je dobře, ale doma je nejlépe. 
Jen jestlí zvyk trval  mnoho časů, domov se může změnit."	3	2029	B2	B2	female	B1	Russian	B1	B1	0	Czech	B1	B2
0605	answer to the email of Alena - ID: 1_Alena	"Milá Aleno!
Děkuji Ti mnohokrát za Tvůj email, dostala  jsem je před týdnem! Mám moc černé svědomí, že jsem Ti už dlouho nepsala! Nezlob na mne!  Měla jsem hodně prace poslední době. Učila jsem na českou zkouškou, však dnes mám volno :). Mimo to, děkuji za krásnou fotkou z dovolené, měla jsi moc radost!?!
Co řicí o mne život? Nic zajimavého nestalo, snad jen to, že plánuju dovolenou v létě s Lukášem. Chceme jet do Norska. To je hodně prace, ale hezký :).
Studium je dobré, v březnu musím psat sociologickou zkouškou, to je tězké!  Ale Jede to! To je vyborně novinu, Alena bude blízko Drážďan v létě! Doufám, že můžeš pracovat ve firmě! Samozřejmý mám čas! Už se velmi teším na tvoji návštěvu. Srdečně chtěla bych Ti pozvat  k mně! Kdy přijdeš? Kde si dáme sraz? 
Co se týká kurzu - to je dobrý nápad! Kdy přesně bude? A kolik stojí? Asi můžeš  mi poslat inzerát?! Chtěl by  mílé.
 Dobře! Pro dnešek končím, je už pozdě večer, musím vstávat brzo zítra! 
 Prejí Ti a tvým rodičům všechno nejlepší a zvláštně Ti hodně uspechů v 13. dubna! 
Už těším za na setkání!
Zatím Ahoj,
 Kateřina
PS: Pozdravuj  Tomáše od mne!"	3	not reported	B1	B1	female	B1	German	B1	B1	B1	Czech	B1	B1
KYJ0611005A	answering on a birthday invitation - ID: A2PS0102_oslava	"Kyjev 11června
AhoyMartin ,
Chtěl bych poděkovat za e-mail s pozvankou. Je nejaky program oslavy? 
Kde se setkame? Davaj, sejdeme se na Naměstí. Jsem student a nemam hodně volneho času. Davaj na 6:00 hodín. Vyhoveje to. 
Así chtěl zaptat se kdo jsou dalši hosty. Bude tam David? 
Eště jednouti děkuji, těšim na stretnuti Ahoy Tomáš"	2	1519	A2	A2	male	A2	Other	A2	A2	A2	Czech	A1	A2
MOS0509001	write an essay: Everywhere well but at home the best - ID: B2PS0200_doma	"2. Všude dobře, doma nejlépe.
  Cestování to je  jedna z hlavních časti meho života. Ráda cestuji  spolu s manželem Davidem 
Když máme čas cestujeme do města v Rusku nebo do zahraničí. Za minulý rok  jsem byla dvakrat v České republice, v Polsku, v Nemecku,  a v Rakousku.
 Obvyklé to je levné cesty, mnoho  jezdíme vlakem od jedného města do druhého. Mnoho  fotografujeme prírodu.  Manžel rád fotografuje ptáků. 
   Náše minulá navštěva  České republiky je nezapomenutelná. Jeli jsme do České republiky vlakem 32 hodiny. Obyčejne  během cesty  pracuji na počitači. Pak 2   dny v Praze, a pak 6 hodin cesty do  Vídeni.  Po návratu z Vídeni jsme navštěvili  České Budejovici. Pak ještě jeden den jsme byli v Praze a pak opět cesta do Moskvy. Nebo cestování do Gdaňsku v Maje. Když  jsme neměli peníz na  letenky do Gdaňsku a jela jsem spolu s kamarády zpočátku vlakem do Brestu a pak vlakemi  jsme jeli už do Gdaňsku. 
 Takové levné způsob cestování je velmi těžký a po návratu domu  mám ráda Rusku, domu a klidu. A už měsíc nebo víc nechci někam jet a ráda  pracuji. A ještě ráda vzpomínám co  víděli , a co  jsme poználi nového.  I vždy v každém cestování dráha domu pro mně je kratší než do cíli, protože doma je rodiče, kamarady a doma vždy nejlépe."	3	2029	B2	B1	female	A2	Russian	B1	B1	0	Czech	B1	B1
0635	answer to the email of Alena - ID: 1_Alena	"19. července 2006
Milá Mileno,
děkuji ti mnohokrat za tvoje Email. Je mi líto, že nemůzu přijít na grilovací party u vás. Budu byt na dovolenu. Pojedu vlakem na Slovensku a chci chodit na hory. Ale v 27. srpna budu rádi přijt u vás. Příští týden budu mít čas a těším se na setkání. Čekali bychom v ponděli v Drážďanech na hlavní nádraží.
Kromě toho, hledám na dobrou gramatiku češtinou. Znám jedna a můžeš koupit gramatiku češtinou pro měho? Samozřejmý budu dát peníze za gramatiku.
Ahoj a měj se hezky
Andrea"	2	not reported	B1	B1	male	A2	German	B1	A2	B1	Czech	B1	A2
0638	answer to the email of Alena - ID: 1_Alena	"4. srpen 2006
Milá Mileno,
děkuju ti mockrát za Tvůj dopis nebo e-mail. Už jsem ti dlouho nepsal, protože v poslední dobou jsem měl moc prace.
Teď musim psat seminařní praci. Bohužel, nebudu mít čas na grilovací party, protože budu o dovolené.
Pojedu za 2 tydný do Ṡvýcarska. Ale 14 dní pozdějí, 27.8.06 bych měl čas a přijdu. Těším se na svatbu. Ale kde je hrad Křivoklat?
Co si přejete?
Příští středu budu mít čas. Těším se velmí na naše setkání. Chtěl bych se setkat v jednu hodinu odpoledne v kavarně u nadraži. To je dobré? Souhlasiš? Jinak hledám dobrou gramatiku českéko jazyku.
Chtěl tě bych ptát jestli znáš jednou. Asi bys mohl koupit jednou dobrou gramatiku.
Samozřejmý budu ji platit. Přeju Ti všechno nejlepší.
S pozdravý
David"	2	not reported	B1	B1	male	B1	German	B1	A2	A2	Czech	B1	A2
