essay_id	essay_set	essay	essay_score	Age	CEFR level of test	Coherence/Cohesion	Gender	Grammatical accuracy	Mother tongue	Orthography	Overall CEFR rating	Sociolinguistic appropriateness	Test language	Vocabulary control	Vocabulary range
1385_0001128	help a friend who is looking for work - ID: 1385_040101	"Ciao Mario
Puoi mi scriva dove ti lavora adesso. Perché vuoglio cambia il posto di lavora
- Che e il tipo di lavoro vuoglia fare. Tu preferisca di apprendere de cose nuovo? 
- Puoi mi dica si ta preparata una presentatione completto della tua stazzione professionale. Quando tu vuoglio comminca la nuovo posta? Quando vorrei fa iniziare con il nuovo lavora."	1	28	A1	A1	male	A1	German	A2	A1	A2	Italian	A2	A2
1325_9000185	help someone who has problems with chats - ID: 1325_010300-2	"Settimana Giovani                                                                                         Strada Maggiore 15  
Via F. Crispi 119 - 80127 Caserta                                                                12345 Città X 
                                                                                                                     Maggio, 28, 2010 
Caro Giorgio, 
  Ho letto la tua lettera e mi piascerebbe darti qualche consiglio: Hai fatto bene a cancellare tutti i numeri dei tuoi amici virtualli, perché secondo me la vera amicizia abbia bisogno di contatto fisico, cioè devi uscire con i tuoi amici, devi vivere il rapporto, la amicizia si basa nella confidenza, sentirsi ognitanto, aiutarsi quando c'è un problema e secondo me gli amici virtualli non possono offrirti questo, anzi perdi il tempo di trovare un amico reale. Ho sentito che tante persone che ""chattano"", non sono come si descrivono, te possono raccontare storie false, bugie, possono cambiare, di sesso e inventare situazioni che non sono veri. Ti consiglio di studiare qualche lingua che ti interessa o magari andare in palestra, così troverai delle persone che hanno gli stesse ambizione. 
 Ti lascio il mio numero di telefono, così un giorno possiamo andare a bere un caffé e sarebbe bello cominciare una amicizia. 0345-11111111 
 Spero ti servono i miei consigli e spero sentirti!    La tua nuova amica 
                                                                                                                                                     Maria"	3	33	B2	B2	female	B2	Spanish	C1	B1	B2	Italian	B2	B2
1395_0000547	contact a friend after a long time - ID: 1395_020300	"Caro Maco,
Come stai? Come va il tuo lavoro?
Ti mando tanti saluti da Città X. Città X è il luogo dove studio l'economia del turismo. Mi piace studiare qui a Città X. Ho molti amici ma non ho molto tempo libero. Adesso sto imparando tutti i giorni.
Sono andata a un concerto rock due settimane fa. La musica era molto bella. Il concerto era a Città Y, una grande città a nord. Ieri sono andata al cinema a Città Z con un'amica.
Tanti cari saluti
Maria"	2	22	A2	A2	female	B1	German	B2	A2	A2	Italian	B1	B1
1385_0001156	help a friend who is looking for work - ID: 1385_040101	"Ciao Marco!
grazie per la tua email. Vorrei aiutarti, ma ho bisgono di qualche informazione in più. Puoi dirmi dove lavori adesso? Anche vorrei sapere che tipo di lavoro vuoi fare? Quando vorresti iniziare? Rispondermi presto! Cari saluti!
Ciao,
Maria"	2	28	A1	A2	female	B1	Polish	B1	A2	B1	Italian	A2	A2
1365_0100139	answer to an wedding invitation - ID: 1365_020300	"Città X, 22 Genaio 2011
Cara Beatrice, caro Stefano,
finalmente! Che bella notizia! Ho avuto già paura che non riusciate mai a decidervi sul vostro futuro insieme. Mille congratulazioni - veramente! Sono certo che è l'ottima decisione della vostra vita.
Mille grazie anché dell'invito! Sono molto contento di rividervi. Forse avremo il tempo per parlare durante la cena. Conosco il ristorante: mariviglioso.
Sieti certi, alloro, che verrò. E per questa volta, sarò in punto. :)
Ma dite, che posso regalare? Ho un'idea...vi piace una sorpresa?
Saluti cordiali, Michele"	3	42	B1	A2	male	B1	other	C1	B1	B1	Italian	B1	B1
1385_0000039	help a friend who is looking for work - ID: 1385_040101	"Puoi dirmi dove lavori adesso? Che cosa fai nel posto di lavoro attuale? Vorrei sapere che tipo di lavoro vuoi fare e quelle parte ti piacciono?
Un ultima domanda: Quando puoi cominciare al nuovo posto?
Grazie per la tua risposta.
Cari saluti
Maria"	2	23	A1	A2	female	A2	German	B1	A2	A2	Italian	A2	A2
1395_0000554	go see a friend - ID: 1395_040101	"Caro Pietro
come stai? Come la tua vita a Città X? Penso e piu tranquillo di quella a Città Y. Hai trovato finalmente una casa? La tua sorella m'ha detto ché hai avuto problemi da trovare un alloggio. Allora dové la tua casa e come si arriva?
Senti, la settimana prossima Maria e io avremmo tempo per fare una visita. Che ne pensi? Potremmo mangiare il tartuffo dal tuo ristorante prefferito. E la sera faremmo qualche passi in citta.
Se hai tempo e un spazio per noi per due notte, telefona mi sta sera!
Cari saluti, Michele"	2	44	A2	A2	male	B1	German	B1	A2	B1	Italian	B1	B1
1385_0001528	reschedule an appointment - ID: 1385_020100	"Ciao Daniele, 
come stai? Per me questa settimana è orribile. In ufficio c'è molto lavoro. Mi dispiace, ma giovedi pomeriggio non posso incontrarti perché mio capo ha organizzato una riunione. Tu hai tempo sabato sera? Che ne dici di andare a cena in un ristorante tailandese? Se ti non piace la cucina tailandese possiamo andare in un altro ristorante. Ti prego di informarmi fino al venerdi. Credo che dobbiamo prenotare un tavolo, il sabato sera i ristoranti sono sempre pieni. 
 Saluti
 Maria"	2	37	A1	A2	female	A2	German	B1	A2	A2	Italian	A2	A2
1385_0001197	reschedule an appointment - ID: 1385_020100	"Caro Daniele, 
è una settimana orribile. In ufficio c'è molto lavoro e giovedì pomeriggio non posso incontrare con te, perchè il mio capo ha organizzato una riunione. Possiamo incontrare un altra volta? È sabato sera possibile? Andiamo a cena in un ristorante tailandese? 
Cari saluti, 
 Maria"	2	27	A1	A1	female	A2	German	B1	A2	A2	Italian	A2	A2
1385_0001160	help a friend who is looking for work - ID: 1385_040101	"Ciao. Ho letto la tua email, e voglio ti do un'aiuto, ma all'inizio devo sapere che cosa vuoi fare. Credo che non guadagni tanti soldi, e per questi motivi cerchi un'altro lavoro? Sopratutto, dove lavori adesso e quando puoi iniziare di lavora nuova? Ĕ molto importante dove potresti andare dal questo lavoro. Comunque se avessi il tempo potremmo incontrarci. Non ho dubbi che tutto andrà bene e troviammo qualcosi insieme. Non hai paura.
Michele"	2	32	A1	A2	male	B2	Polish	A2	A2	A2	Italian	A2	A2
1325_1001165	apply for internship in fashion sector - ID: 1325_020401-1	"ALI - Agenzia Lavoro Interinale
Via Dante Alighieri 40
I - 42010 Reggio Emilia 
ITALIA 
                                  Città X, 03 marzo 2012
Egregio Signora responsabile, 
Le scrivo per avere informazioni riguardo all lavoro appure nell tuo web sito. 
Come vedrà nel mia curriculum vitae allegato sono laureta in materia economiche e ho manterato esperienza all lavoro di assistente in Bella Moda per due anni fino ad oggi. Io interessante molto per il mondo della moda e amo lavorare a contatto con gli altri. Ho già una minima e esperienza nel settore. 
Io voglio domande all'orario di lavoro, perchè io non so questo informazione nell'annuncio. 
Credo di essere una persona molto responsabile e contore. Io ride molto e condusse richerche di mercato. 
In attesa di una Sua cortese risposta, resto a Sua disposizione per  un eventuale colliquio. 
Cordiali saluti 
Maria Eva Rossi
                                       Via Santa Maria 30 
                                       5100 
                                      Italia"	3	19	B2	B1	female	B1	Hungarian	C1	B1	A2	Italian	B1	B1
1395_0000630	contact a friend after a long time - ID: 1395_020300	"Ciao Carlo. Come stai? Spero bene. A me tutto bene. Come tu sai, ho trovato un nuovo lavoro. Sono molto contento! È molto interessante! Anche la mia famiglia va tutto bene!
La mia moglie e i miei bambini sono andati al mare in vacanza. Io invece sono andato con gli amici in montagna per fare mountain-bike. Cosa pensi? È possibile di incontrarci? Spero! Dai mi un telefono! 
             A presto Michele"	2	40	A2	A1	male	A2	German	A2	A2	A2	Italian	A1	A2
1395_0000564	go see a friend - ID: 1395_040101	"Ciao Marco
Come stai? Sto bene. Prossima mese ho due settimane vacanza, che bello. Io voglio andare nella tu città. Una volta hai detto a me tu abiti ancora a Città X. Io e mio ragazzo andremo 21.4 -24.4.11 a Città X. In aprile cosa fai? hai tempo per noi? Spero l'ultima vista era in 2008 è lungo. Quando possiamo ti trovare? Scrivi un messagio a me mio nummero 0345-11111111. Come va con i tuoi genitori è meglio? Scrivi anche il tuo indirizzo. Io pissonio la via. Il viaggo è lungo fino a tua casa? Ancora 2 ore? Devo prendere il treno? A presto. Tanti cari saluti Maria"	2	21	A2	A2	female	A2	German	B1	A2	A2	Italian	A2	B1
1385_0000038	help a friend who is looking for work - ID: 1385_040101	"Ciao Francesco
grazie per la tua email. Vorrei aiutarti, ma ho bisogno di qualche informazione in più. Puoi dirmi dove lavori adesso? Vorrei sapere c'è la più importante cosa per te lì? Che tipo di lavoro vuoi fare? Quando è possibile a cominciare il posto nuovo?
Tanti saluti
Maria"	2	42	A1	A2	female	A2	German	B1	A2	B1	Italian	A2	A2
1325_1001041	help someone who has problems with chats - ID: 1325_040300-2	"Giorgio da Unici
Roma, via Crispi 119
80127
Città X, 01/10/2011
Caro Giorgio,
ho letto il tuo problema nel giornale Settimana Giovani e pensavo che fosse meglio aiutarti in qualche modo, almeno lo provo. Secondo la mia opinione la perdita degli amichi é un errore grave ma c'è ancora speranza. Il tuo primo errore era che volevi fare grandi amicizie via internet.
Se non sbaglio tu ami passare molti tempi davanti al computer. Avresti dovuto vivere in società con i suoi veri amici. Cerca di spiegargli che hai fatto un grande sciocezza e che in futuro proverai passare più tempo con loro. Se lo capiscono allora puoi dire che , ""Sì, ho veri amici.""
Sono sicuro che ti capiranno.
Ma non guasterebbe se tu scrivessi ai ""chat amici"" per spiegargli che le cose sono cambiate e che tu abbia veri amici i quali meritono l'attenzione. Non dimenticare; via internet non si può fare amicizie serie! Continua la tua vita precedente come se tutte queste cose non fossero successo.
Spero che io abbia aiutarti in qualche modo e tutto andrà bene con i tuoi amici persi. Però non credo che vada male. Pazienza!
Tanti Auguri
Maria Rossi"	3	18	B2	B2	female	B2	Hungarian	C1	B1	B2	Italian	B2	B2
1325_1001133	describe experiences with language learning - ID: 1325_040300-1	"Dipartimento di Linguistica 
Teorica e Applicata, 
Università degli Studi di Pavia,                                      Maria Rossi 
Corso Strada Nuova, 55                                                Strada Maggiore 59 
27100 Pavia, Italia                                                         1234 Città X
                                                                                     Paese X 
                                                                                     22.01.2012 
Spettabile Scuola di Lingua, 
Egregio Gabriella Favati, 
ho letto il Vostro opportunità su Internet. Desidero sottoporre alla Vostra attenzione la mia candidatura. Credo di essere adatta ai vostri requisti  richiesti. 
Sono Maria Rossi. Ho 25 anni. Abito in Città X in Paese X. Nel 2004 ho ricevuto il mio diploma di maturità nel Liceo linguistico. 
Ho un'ottima comprensione e produzione sia scritto che orale della lingua inglese, tedesco e italiano. Ho studiatto inglese per 12 anni, tedesco e italiano 4 anni. Studio cinese da mezz'anno. Ho lavorato in Inghilterra, Italia. Ho fatto tanti amici stranieri e parlo con loro ogni giorno su Facebook. 
Ho soli buoni esperienzi personale nel corso dell'apprendimento delle lingue. Secondo me per imparare la lingua dobbiamo praticare tanto. Vorrei conoscere tante lingie  perche posso parlare con tanta gente. 
                                                       Distinti saluti
                                                      Maria Rossi
In allegato Vi mando le fotocopiei dei miei certificati. Credo che potere aiutarVi."	3	18	B2	B1	female	B1	Hungarian	C2	B1	B1	Italian	B2	B2
1395_0000534	go see a friend - ID: 1395_040101	"Caro Lino,
Come stai amico mio? Fa molto tempo che  io voglio scriverti per ti fare una domanda, adesso lo fa! Alla fine da questa settimana io avete tre giorni liberi, e penso che questa volta ci possiamo vedere da te a Città X. Perché io non conosco bene questa bella cità. Ma come faccio per andare a Casa tua? e meglio con la metropolitana o con il pullman? Sabato sera usciamo certamente al ristorante e da qualque locale che tu conosco bene ... abito vicino al centro? Alora che cosa penso di questo week-end possiamo organizzare quelcosa? Lino fammi sapere presto se sei oK, Puoi chiamami a casa. Aspetta la tua telefonata. 
in Attesa di vederti ti faccio tanti baci, Ciao e a presto Michele"	2	38	A2	A2	male	B1	French	B1	A2	A2	Italian	B1	B1
1395_0001158	go see a friend - ID: 1395_040101	"Città X, il 24 novembre 2011 
Ciao Paolo
come stai e come sta la tua famiglia. Come abbiamo telefonato settimana scorsa, abbiamo detto che vengo a trovarti per Natale. Arrivando il 23 dicembre, fino qundo posso rimanere a casa tua? Arriverò in treno alle 8 di sera, come trovo la casa tua? Magari puoi venire à prendermi colla tua macchina? È grande la tua città, non lo so neanche. Spero che passeremo assieme belli giorni e ti saluto con affetto 
 Michele"	3	51	A2	B1	male	B1	German	B1	B1	A2	Italian	A2	A2
1325_9000319	help someone who has problems with chats - ID: 1325_010300-2	"Città X
                                                                                              18. jugnio 2011 
Caro Giorgio,
hai scritto sul giornale, che abbia problema con le amizie virtuali. 
Secondo me l'amizicia virtuale  sia  possibile solo in alcune parte. 
Una amizicia  sia possibile per parlare  su  problema o discutere soluzione. 
Non sia possibile trovare una partner sull'Internet. Trovare una partner vuole dire avere contatti personalmenti. 
Ti consiglio: prenda i tuoi contatti per solvere problemi a nuovo e non prova cercare partner o amici personalmenti sull'Internet. Invece - devi trovare amici veri. Per questo motivo poi entrare in un Club, fare dello sport in  in una squadra o frequentare corsi delle lingue. 
Circa un anno fa anch'io ho ""chattato"" molto è anch'io ho perso quasi tutto i miei contatti reali. 
A un certo punto ho visto che fossi stato in una situazione senza possibilità di agire in realtà. Non fossi cambiare problemi e trovare soluzione. 
Per questo motivo ho smesso ""chattare"". Secondo me l'Internet  sia un mezzo per aiutarci e non sia la realtà. 
Caro Giorgio, sono in attesa di una riposa.  
Tanti saluti cordialmente, 
M."	3	61	B2	B1	female	B1	German	C1	B1	B1	Italian	B1	B2
1325_9000138	complaining against a hotel - ID: 1325_030300-2	"Buongiorno direttore / direttrice del ""Residence del lago"" 
Mi chiamo Maria Rossi ed ero un ospite al suo residence alcune settimane fa. Richiedo un parziale rimborso,a causa delle condizioni, neelle quali la mia famiglia ed io abbiamo dovuto passare le nostre vacanze. Abbiamo prenotato il nostro soggiorno, dopo di aver letto il suo annuncio nel giornale, che ci prometteva un residence in cui si può fare dello sport, ci si può rilassare e che si trova vicino al lago, a cui indica anche il nome. Invece ci siamo trovati in un residence in cui rilassamento non era possibile, a causa del tremendo calore nelle stanze, che risultava dalla mancanza d'aria condizionata. Cercando un modo per rinfrescarci, siamo andati alla piscina del residence, che tra l'altro era l'offerta più attraente per noi, trovandola completamente sovraffolata. Anche altre possibilità di divertimento erano indisponibili, come per esempio i campi da tennis. I miei fratelli ed io abbiamo portato le nostre raccette , nella speranza di potersi allenare, ma anche questa promessa dell'annuncio non è stata mantenuta. Esattamente come il mio prossimo lamenti, che si riferiscono alla grande distanza del Residence al lago, e la mancanza di colleghamenti pratici. In oltre anche l'animazione che avrebbe dovuto avere luogo ogni sera, c'era solamente una volta la settimana. Considerando il fatto, che il nostro soggiorno durava solamente una settimana,significa che l'abbiamo visto solo una volta.  
Per queste ragioni, ma anche a causa che non solo i campi da tennis e la piscina non erano disponibili, ma addirittura il corso di surf era pieno, mi vedo costretta a richiedere un parziale rimborso. La sua offerta, per la quale abbiamo pagato molti soldi, non aveva niente a che fare con le condizioni in cui abbiamo trovato il suo residence. 
La pregho di contattarmi più veloce possibile. 
sennò avrà notizia dal mio avvocato. 
Cordiali saluti 
Maria Rossi"	3	20	B2	B2	female	B2	German	C1	B1	B1	Italian	C1	C1
1385_0001738	reschedule an appointment - ID: 1385_020100	"CIAO DANIELE 
COME STAI? IN UFFICIO C'È MOLTO LAVORO E GIOVEDI POMERIGGIO NON POSSO CON TE. FARSE APPUNTAMENTO A SABATO DI SERA. IO PROPORIO TU ANDARE A CENA IN RISTORANTE TAILANDESE. 
                                SALUTE  
                                            Maria"	1	28	A1	A1	male	0	Polish	A1	A1	0	Italian	A1	A1
1385_0001772	reschedule an appointment - ID: 1385_020100	"Caro Daniele, 
Come stai, mi sto molto male, perchè è una settimana orribile. In ufficio c'è molto lavoro e giovedì pomeriggio non ho tempo per un appuntamento. Ma sabato sera andiamo a cena in un ristorante tailandese. Che cosa pensi? Il attesa di uno tuo risposto ti mando 
             Cari saluti 
                          Maria"	2	45	A1	A2	female	A1	German	A2	A2	A1	Italian	A2	A2
1365_0100061	help a friend who is looking for work after school-leaving exam - ID: 1365_040501	"Città X, 12.06.2010
Caro Francesco,
scusami tanto per il ritardo...ti volevo rispondere da tanto tempo, però non ce l'ho fatta. Visto che c'è molto lavoro in ufficio, non ho mai trovato un'oretta libera per rispondere. Spero che mi perdoni...
Mi pare che sia una bella idea se tu venissi qui in Germania per lavorare. Se io avessi la possibilità, lo deciderei anch'io!Potresti fare uno stage in un
Dato che io lavoro dall'ufficio di collocamento, spero di trovare un bel posto per te! mandami per favore subito il tuo curriculum. Potresti mandarmelo anche via e-mail così posso gìa cominciare a cercare. Il mio indirizzo è: Maria.rossi@internet.it
Volevo farti inoltre tanti auguri per l'esame. Sei bravissimo! Anch'io sono molto felice per te!
Ci sentiamo via e-mail!
A presto
Maria"	3	32	B1	B2	female	B2	German	C2	B1	B2	Italian	B2	B2
1325_1001161	apply for internship in fashion sector - ID: 1325_020401-1	"Michele Rossi                     ALI
Strada Maggiore 27/b           VIA DANTE ALIGHIERI
1234 Città X                      I - 42010 Reggio Emilia 
Paese X                                Italia 
Egregia ALI,
Io sono Michele Rossi, ho studiato sull'Università Chattolica Università X a Città X sulle -unreadable- storia, storia dell'arte e pedagogia. 
Io sono il perfetto uomo per questo posto di lavoro, perché la mia personalita e la mia esperienza è ottimo per fare questo lavoro. 
Mi piace molto fare -unreadable- con gli altri. 
Mentre studiavo sull'università -unreadable- nelle due dita: nella  Galleria X e nel Studio X. Nella Galleria organizzavo programmi e manifestazione, cosi communicavo moltissimamente con i clienti e anche con -unreadable- della Galleria. Il altro compito era che con il mio capo andavamo spesso sul mercato antiquariato, dove compravamo dipinti che potevamo restaurire e poi naturalmente possiamo vendere e sia nella galleria. -unreadable- -unreadable- che le altre gallerie quali dipinti per questo -unreadable- vendere. 
Nel Studio X vendevamo vestite che ha fatto Eva seguito la moda -unreadable-. Dopo l'università lavoravo nel Azienda X in call centre, dove parlavo molti con i clienti. 
Finalmente vorrei chiedere il -unreadable- questo posto, quando devo iniziare il lavoro, giorno per giorno quanto tempo si bisogna lavorare -unreadable- -unreadable- e dove posso abitare, un affitto circa quanta costa, per quanto devo pagare per i merci? 
-unreadable- è il stipendio? 
Sto aspettando alla vostra risposta, 
Distinti saluti, Michele Rossi"	3	27	B2	B1	male	B1	Hungarian	C1	B1	B1	Italian	B1	B2
1325_9000505	apply for internship in company - ID: 1325_020400-1	"Città X, 17.04.2011 
VALTOUR 
viaggi e vacanze 
Via F. Redi 3 
Simalunga (SI) 
ITALIA 
Egregi Signori,
Mi chiamo Michele, ho 39 anni e abito in Paese X, a Città X. Non sono sposato, vivo in una casa insieme a mia sorella e mio fratello. Lavoro in ufficio fiscale. Questo lavoro non é interessante per me, perciò qualche tempo fa ho deciso di cambiare tutta la mia vita. 
Ho letto nel giornale il vostro annuncio e subito ho pensato, che questo lavoro potrebbe essere utile per me per cambiare tutta  la mia vita. 
Che cosa potrei fare per Loro?
Allora, parlo l'inglese molto bene, parlo il francese abbastanza bene, sono una persona simpatica e seria. Mi piace tanto viaggiare, conoscere le persone nuove, trovare gli amici e visitare i posti nuovi. 
Vorrei fare uno stage nella Loro società, cercho di lavorare il meglio possibile. 
Nella mia vita visitavo tanti paesi e penso che so anche bene raccontare dei altri paesi e della sua tradizione. Amo i viaggi in bicichletta.
Il mio titolo di studio é l'insegnante e per questo motivo mi piace lavorare anche con i bambini, organizzare le gite e l'altro divertimento. 
Ho sentito dire, che la Loro società é molto piacevole per i lavoratori e da tanta sodisfazione del lavoro. 
Prego di rispondere sulla mia lettera il più presto possibile. 
           Cordiali saluti
   Michele Rossi  
                                                                               Strada Maggiore
3/31                                                                          12345  Città X, Paese X"	3	37	B2	B2	female	B1	Polish	C1	B1	B1	Italian	B2	B2
